UniversityName,ProgramName
Universidad de Monterrey,Especialidad en Competitividad e Innovación Empresarial
Universidad de Monterrey,Especialidad en Estrategias de Mercadotecnia y Comercialización
Universidad de Monterrey,Especialidad en Finanzas
Universidad de Monterrey,Especialidad en Gestión del Cambio Organizacional (en línea)
Universidad de Monterrey,Maestría en Administración (MBA)
Universidad de Monterrey,Maestría en Desarrollo Organizacional
Universidad de Monterrey,Maestría en Desarrollo Organizacional y Cambio
Universidad de Monterrey,Maestría en Gestión de Hospitales y Servicios de Salud
Universidad de Monterrey,Maestría en Gestión de la Ingeniería
Universidad de Monterrey,Maestría en Ingeniería de Producto
Universidad de Monterrey,Maestría en Logística y Cadena de Suministros
Universidad de Monterrey,Maestría en Analítica e Inteligencia de Negocios
Universidad de Monterrey,Especialidad en Derecho Energético
Universidad de Monterrey,Especialidad en Elaboración y Gestión de Proyectos de Cooperación Internacional
Universidad de Monterrey,Maestría en Cooperación Internacional y Resolución de Conflictos
Universidad de Monterrey,Especialidad en Juicios Orales
Universidad de Monterrey,Maestría en Derecho Fiscal
Universidad de Monterrey,Maestría en Derecho de la Empresa
Universidad de Monterrey,Doctorado en Derecho
Universidad de Monterrey,MAESTRÍA EN ARTE Y DISEÑO DE VIDEOJUEGOS
Universidad de Monterrey,MAESTRÍA EN DISEÑO GRÁFICO
