University Name,Program Name,Program URL
Universidad Nacional Autónoma de México,Universidad Nacional Autónoma de México,https://ror.org/01tmp8f25
Tecnológico de Monterrey,Tecnológico de Monterrey,https://ror.org/03ayjn504
Universidad de Guadalajara,Universidad de Guadalajara,https://ror.org/043xj7k26
Centro de Investigación y de Estudios Avanzados del IPN CINVESTAV,Centro de Investigación y de Estudios Avanzados del IPN CINVESTAV,https://ror.org/009eqmr18
Instituto Politécnico Nacional,Instituto Politécnico Nacional,https://ror.org/059sp8j34
Universidad Autónoma Metropolitana,Universidad Autónoma Metropolitana,https://ror.org/02kta5139
Benemérita Universidad Autónoma de Puebla,Benemérita Universidad Autónoma de Puebla,https://ror.org/03p2z7827
Universidad Autónoma de Nuevo León,Universidad Autónoma de Nuevo León,https://ror.org/01fh86n78
Tecnológico Nacional de México,Tecnológico Nacional de México,https://ror.org/00davry38
Universidad de Guanajuato,Universidad de Guanajuato,https://ror.org/058cjye32
Universidad Autónoma de San Luis Potosí,Universidad Autónoma de San Luis Potosí,https://ror.org/000917t60
Universidad Iberoamericana,Universidad Iberoamericana,https://ror.org/05vss7635
Universidad Autónoma de Yucatán,Universidad Autónoma de Yucatán,https://ror.org/032p1n739
Centro de Investigación y Docencia Económicas,Centro de Investigación y Docencia Económicas,https://ror.org/014zxe029
Universidad de las Américas Puebla,Universidad de las Américas Puebla,https://ror.org/01s1km724
Universidad Autónoma de Querétaro,Universidad Autónoma de Querétaro,https://ror.org/00v8fdc16
Universidad Veracruzana,Universidad Veracruzana,https://ror.org/03efxn362
Red de Universidades Anáhuac,Red de Universidades Anáhuac,https://ror.org/039bhhz46
Universidad Panamericana México,Universidad Panamericana México,https://ror.org/01n1q0h77
Universidad Autónoma de Ciudad Juárez,Universidad Autónoma de Ciudad Juárez,https://ror.org/05fj8cf83
Universidad Autónoma de Baja California,Universidad Autónoma de Baja California,https://ror.org/05xwcq167
Universidad Autónoma del Estado de México,Universidad Autónoma del Estado de México,https://ror.org/0079gpv38
Colegio de la Frontera Sur ECOSUR,Colegio de la Frontera Sur ECOSUR,https://ror.org/05bpb0y22
Instituto Tecnológico Autónomo de México,Instituto Tecnológico Autónomo de México,https://ror.org/029md1766
Universidad Autónoma de Sinaloa,Universidad Autónoma de Sinaloa,https://ror.org/05g1mh260
Universidad Autónoma de Chihuahua,Universidad Autónoma de Chihuahua,https://ror.org/04mrrw205
Centro de Investigación en Alimentación y Desarrollo CIAD,Centro de Investigación en Alimentación y Desarrollo CIAD,https://ror.org/015v43a21
Universidad Michoacana de San Nicolás de Hidalgo,Universidad Michoacana de San Nicolás de Hidalgo,https://ror.org/00z0kq074
Universidad Autónoma de Aguascalientes,Universidad Autónoma de Aguascalientes,https://ror.org/03ec8vy26
Colegio de Postgraduados,Colegio de Postgraduados,https://ror.org/00qfnf017
ITESO Universidad Jesuita de Guadalajara,ITESO Universidad Jesuita de Guadalajara,https://ror.org/00cwp6m07
Universidad Autónoma de Zacatecas,Universidad Autónoma de Zacatecas,https://ror.org/01m296r74
Universidad de Sonora,Universidad de Sonora,https://ror.org/00c32gy34
Centro de Investigación en Matemáticas,Centro de Investigación en Matemáticas,https://ror.org/02nhmp827
Universidad Autónoma del Estado de Hidalgo,Universidad Autónoma del Estado de Hidalgo,https://ror.org/031f8kt38
Universidad Autónoma de Guerrero,Universidad Autónoma de Guerrero,https://ror.org/054tbkd46
Centro de Investigación Científica y de Educación Superior de Ensenada,Centro de Investigación Científica y de Educación Superior de Ensenada,https://ror.org/04znhwb73
Universidad de Colima,Universidad de Colima,https://ror.org/04znxe670
Universidad Autónoma del Estado de Morelos,Universidad Autónoma del Estado de Morelos,https://ror.org/03rzb4f20
Universidad Autónoma de Coahuila,Universidad Autónoma de Coahuila,https://ror.org/00dpnh189
Universidad Popular Autónoma del Estado de Puebla,Universidad Popular Autónoma del Estado de Puebla,https://ror.org/00njxm476
Colegio de México,Colegio de México,https://ror.org/01vp99c97
Escuela Nacional de Antropologia e Historia,Escuela Nacional de Antropologia e Historia,https://ror.org/0509e3289
Universidad de Monterrey,Universidad de Monterrey,https://ror.org/02arnxw97
Universidad Autónoma de la Ciudad de México,Universidad Autónoma de la Ciudad de México,https://ror.org/04q0r6m34
Universidad Autónoma Agraria Antonio Narro,Universidad Autónoma Agraria Antonio Narro,https://ror.org/00ads0y69
Universidad Autónoma de Tamaulipas,Universidad Autónoma de Tamaulipas,https://ror.org/04hhneb29
Universidad Autónoma de Campeche,Universidad Autónoma de Campeche,https://ror.org/01v5y3463
Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco CIATEJ,Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco CIATEJ,https://ror.org/02hgzc508
Universidad Autónoma de Baja California Sur,Universidad Autónoma de Baja California Sur,https://ror.org/01046sm89
Universidad Juárez Autónoma de Tabasco,Universidad Juárez Autónoma de Tabasco,https://ror.org/04ee58018
Universidad Autónoma de Chiapas,Universidad Autónoma de Chiapas,https://ror.org/04eexme77
Instituto Tecnológico de Sonora,Instituto Tecnológico de Sonora,https://ror.org/01v10fv91
Universidad Autónoma Chapingo,Universidad Autónoma Chapingo,https://ror.org/04ctjby61
Universidad Autónoma de Guadalajara,Universidad Autónoma de Guadalajara,https://ror.org/05ppk0267
Universidad Tecnológica de la Mixteca,Universidad Tecnológica de la Mixteca,https://ror.org/003eaqr04
Universidad de Ciencias y Artes de Chiapas,Universidad de Ciencias y Artes de Chiapas,https://ror.org/01gxfn525
Centro de Enseñanza Técnica y Superior CETYS,Centro de Enseñanza Técnica y Superior CETYS,https://ror.org/04gvszq17
Universidad Autónoma del Carmen,Universidad Autónoma del Carmen,https://ror.org/01npab275
Universidad del Valle de México,Universidad del Valle de México,https://ror.org/05h9c3z20
Universidad Autónoma Benito Juárez de Oaxaca,Universidad Autónoma Benito Juárez de Oaxaca,https://ror.org/04mbdq019
Universidad Autónoma de Nayarit,Universidad Autónoma de Nayarit,https://ror.org/0576q1t15
FLACSO México Facultad Latinoamericana de Ciencias Sociales,FLACSO México Facultad Latinoamericana de Ciencias Sociales,https://ror.org/02wdjwg88
Universidad de Quintana Roo,Universidad de Quintana Roo,https://ror.org/029w3ge75
Universidad Autónoma de Occidente UADEO,Universidad Autónoma de Occidente UADEO,https://ror.org/search?page=1&query=Universidad+Au
Universidad Pedagógica Nacional México,Universidad Pedagógica Nacional México,https://ror.org/023m5rq87
Universidad Internacional Iberoamericana,Universidad Internacional Iberoamericana,https://ror.org/04587ry40
Universidad Juárez del Estado de Durango,Universidad Juárez del Estado de Durango,https://ror.org/02w0sqd02
Universidad Politécnica de Pachuca,Universidad Politécnica de Pachuca,https://ror.org/00r63rv29
Universidad Tecnológica de México,Universidad Tecnológica de México,https://ror.org/01687hb54
Universidad Autónoma de Tlaxcala,Universidad Autónoma de Tlaxcala,https://ror.org/021vseb03
Universidad La Salle Ciudad de México,Universidad La Salle Ciudad de México,https://ror.org/05c99rg80
Universidad Politécnica del Estado de Morelos,Universidad Politécnica del Estado de Morelos,https://ror.org/04m34bn97
